"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"AAPB","グラナイトS 2倍 ロング AAPL デイリーETF","--","NASDAQ","https://graniteshares.com/media/mmzd2rrx/aapb-graniteshares-2x-long-aapl-daily-etf.pdf","アップル普通株式の日次変化率の200％の投資成果を追求する。"
"AAPD","Direxion デイリ ー AAPL 株 ベア1倍 ETF ","--","NASDAQ","https://www.direxion.com/uploads/AAPU-AAPD-Fact-Sheet.pdf","アップル・インク (NASDAQ: AAPL)の普通株式の日々のパフォーマンスのインバース(又はオポジット)の100％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。"
"AAPU","Direxion デイリー AAPL 株 ブル 2 倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/AAPU-AAPD-Fact-Sheet.pdf","アップル・インク (NASDAQ: AAPL) の普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。"
"ACWI","iシェアーズ MSCI ACWI ETF","MSCI オール カントリー ワールド インデックス ファンド","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/acwi-ishares-msci-acwi-etf-fund-fact-sheet-en-us.pdf","MSCI All Country World Indexの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。 "
"AFK","ヴァンエックベクトル アフリカ インデックス ETF","マーケット・ベクトルGDPアフリカ指数","NYSE Arca","https://www.vaneck.com/us/en/investments/africa-index-etf-afk-fact-sheet.pdf","アフリカ・インデックスETFは、ヴァンエック・ベクトルGDPアフリカ指数の価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、アフリカに本社を置く、またはアフリカからの売上高が大半を占める上場企業へのエクスポージャーを提供します。したがって、当ファンドには同地域への投資リスクが伴います。"
"AGG","iシェアーズ・コア 米国総合債券市場 ETF","ブルームバーグ・バークレイズ 米国総合インデックス","NYSE Arca","https://www.ishares.com/us/literature/fact-sheet/agg-ishares-core-u-s-aggregate-bond-etf-fund-fact-sheet-en-us.pdf","ブルームバーグ・バークレイズ 米国総合インデックスに連動している。米国の投資適格債券市場全体のパフォーマンスを測る指標でドル建て固定金利、残存期間1年以上の債券で構成される。"
"AGGY","ウィズダムツリー 米国債券ファンド（利回り強化型）","ブルームバーグ・バークレイズ･US・アグリゲート・エンハンスト・イールド・インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/fixed-income/wisdomtree-factsheet-aggy-2044.pdf","米ドル建てのハイイールド社債への投資を行いつつ、米国金利に対する感応度をネガティブにすることにより、高水準の利息等の収入を維持しつつ、金利上昇時により高いパフォーマンスの実現を可能にするファンド。"
"AIPI","REX AI エクイティ プレミアム インカムETF","--","NASDAQ","https://www.rexshares.com/wp-content/uploads/2024/06/aipi-fact-sheet.pdf","純資産の少なくとも80%を、BITA AI・リーダーズ・セレクト指数（BITA AI Leaders Select Index）を構成する証券に投資します。"
"AIQ","グローバルX　AI　＆　ビッグデータETF","Indxx・アーティフィシャル・インテリジェンス・アンド・ビッグデータ・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/AIQ-factsheet-JPN-1.pdf","Indxx・アーティフィシャル・インテリジェンス・アンド・ビッグデータ・インデックス（Indxx Artificial Intelligence and Big Data Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す"
"AIRR","FT RBA 米国産業ルネサンス ETF","リチャード・バーンスタイン・アドバイザーズ・アメリカン・インダストリアル・ルネッサンス指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/AIRR_Factsheet.pdf","米国上場資本財及び地域銀行セクターの中から中小型株を抽出して投資します。"
"ALTY","グローバルX スーパーディビィデンド-オルタナティブズ ETF","Indxx スーパーディビデント オルタナティブ インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/ALTY-factsheet-JPN-1.pdf","Indxx スーパーディビィデンド オルタナティブ インデックスに連動した成果を目指す。"
"AMDL","グラナイトS 2倍 ロング AMD デイリーETF","--","NASDAQ","https://graniteshares.com/media/gmxknu52/graniteshares-2x-long-amd-daily-etf.pdf","アドバンスト マイクロ デバイシズ（NASDAQ：AMD）普通株式の日次変化率の200％の投資成果を追求する。"
"AMZD","Direxion デイリー AMZN株 ベア 1倍ETF","--","NASDAQ","https://www.direxion.com/uploads/AMZU-AMZD-Fact-Sheet.pdf","アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"AMZU","Direxion デイリー AMZN株 ブル 2倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/AMZU-AMZD-Fact-Sheet.pdf","アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"AMZZ","グラナイトS 2倍 ロング AMZN デイリーETF","--","NASDAQ","https://graniteshares.com/media/bf0fonho/graniteshares-2x-long-amzn-daily-etf.pdf","アマゾン普通株式の日次変化率の200％の投資成果を追求する。"
"ARMU","T-REX 2X ロング アーム デイリーターゲットETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2025/03/t-rex-armu-fact-sheet.pdf","アーム ホールディングス ADR(NASDAQ:ARM)の日次変動率の2 倍（200％）の投資成果を目指す。"
"AVDE","アバンティス　インターナショナル　エクイティ　ETF","MSCI 世界（除く米国）IMI インデックス","NYSE Arca","https://res.avantisinvestors.com/docs/jp/avantis-jp-international-equity-avde-etf-fact-sheet.pdf","米国を除く先進国の大型、中・小型株に幅広く分散投資を行います。"
"AVEM","アバンティス　エマージング　マーケッツ　エクイティ　ETF","MSCI エマージング IMI インデックス","NYSE Arca","https://res.avantisinvestors.com/docs/jp/avantis-jp-emerging-markets-equity-avem-etf-fact-sheet.pdf","あらゆる時価総額にわたる新興国市場の幅広いセクターおよび業種の銘柄に分散投資を行います。"
"AVL","Direxion デイリー AVGOブル2倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/AVL-AVS-Fact-Sheet.pdf","ブロードコム(NASDAQ: AVGO) の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"AVS","Direxion デイリー AVGO株 ベア1倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/AVL-AVS-Fact-Sheet.pdf","ブロードコム(NASDAQ: AVGO) の普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"AVUS","アバンティス　US　エクイティ　ETF","ラッセル3000インデックス","NYSE Arca","https://res.avantisinvestors.com/docs/jp/avantis-jp-us-equity-avus-etf-fact-sheet.pdf","高リターンが期待できる米国の大型、中・小型株に幅広く分散投資を行います。"
"AVUV","アバンティス　US　スモールキャップ　バリュー　ETF","ラッセル2000バリュー株インデックス","NYSE Arca","https://res.avantisinvestors.com/docs/jp/avantis-jp-us-small-cap-value-avuv-etf-fact-sheet.pdf","高リターンが期待できる米国小型株に投資します。集中投資リスクを軽減するために、幅広いセクターおよび業種の銘柄に分散投資を行います。"
"BABX","グラナイトS 2倍 ロング BABA デイリーETF","--","NASDAQ","https://graniteshares.com/media/t2vb2ccw/babx-graniteshares-2x-long-baba-daily-etf.pdf","アリババ普通株式の日次変化率の200％の投資成果を追求する。"
"BBAG","JPモルガン　ベータビルダーズ　米国総合債券市場ETF","ブルームバーグ 米国 Aggregate 債券指数","NYSE Arca","https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBAG.PDF","インデックス運用のアプローチで米国の投資適格債券市場に投資するETF。Bloomberg U.S. Aggregate Bond Indexと同等の投資リターンの獲得を目指します。"
"BBH"," ヴァンエック　バイオテクETF","ヴァンエック ベクトル米国上場バイオテク25指数","NASDAQ","http://search.sbisec.co.jp/v3/ex/etf_BBH_150514.pdf","ヴァンエック ベクトル米国上場バイオテク25指数にできるだけ連動する投資成果をあげることを目標とする。"
"BBHY","JPモルガン　ベータビルダーズ　米国ハイイールドETF","ICE BofA 米国ハイイールド指数","CBOE","https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBHY.PDF","インデックス運用のアプローチで米国のハイイールド債券市場に投資するETF。ICE BofA US High Yield Indexと同等の投資リターンの獲得を目指します。"
"BBJP","JPモルガン　ベータビルダーズ　日本株式ETF","モーニングスター 日本Target Market Exposure指数","CBOE","https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBJP.PDF","インデックス運用のアプローチで日本の株式市場に幅広く投資するETF。MorningstarR Japan Target Market Exposure Indexと同等の投資リターンの獲得を目指します。"
"BBRE","JPモルガン ベータビルダーズ MSCI米国リートETF","MSCI US REIT指数","CBOE","https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBRE.PDF","資産の最低80％以上をMSCI US REIT Custom Capped Index構成銘柄に投資し、米国REIT市場全体の動きと同等の投資成果を目指します。"
